Time	ResultSignal
0.1202	3.21153
0.12021	3.17404
0.12022	3.13529
0.12023	3.09535
0.12024	3.05428
0.12025	3.01213
0.12026	2.96899
0.12027	2.9249
0.12028	2.87995
0.12029	2.8342
0.1203	2.78772
0.12031	2.74059
0.12032	2.69286
0.12033	2.64462
0.12034	2.59593
0.12035	2.54688
0.12036	2.49752
0.12037	2.44793
0.12038	2.39819
0.12039	2.34836
0.1204	2.29852
0.12041	2.24873
0.12042	2.19906
0.12043	2.14959
0.12044	2.10038
0.12045	2.05149
0.12046	2.003
0.12047	1.95496
0.12048	1.90743
0.12049	1.86048
0.1205	1.81417
0.12051	1.76855
0.12052	1.72368
0.12053	1.67961
0.12054	1.63639
0.12055	1.59407
0.12056	1.5527
0.12057	1.51231
0.12058	1.47296
0.12059	1.43469
0.1206	1.39752
0.12061	1.36149
0.12062	1.32664
0.12063	1.293
0.12064	1.26058
0.12065	1.22943
0.12066	1.19954
0.12067	1.17096
0.12068	1.14368
0.12069	1.11773
0.1207	1.09311
0.12071	1.06983
0.12072	1.04791
0.12073	1.02733
0.12074	1.0081
0.12075	0.990226
0.12076	0.973691
0.12077	0.958492
0.12078	0.94462
0.12079	0.932061
0.1208	0.920801
0.12081	0.910825
0.12082	0.902113
0.12083	0.894645
0.12084	0.888398
0.12085	0.883347
0.12086	0.879467
0.12087	0.876728
0.12088	0.875103
0.12089	0.874559
0.1209	0.875065
0.12091	0.876586
0.12092	0.879089
0.12093	0.882537
0.12094	0.886893
0.12095	0.892119
0.12096	0.898179
0.12097	0.905032
0.12098	0.912639
0.12099	0.920961
0.121	0.929957
0.12101	0.939588
0.12102	0.949813
0.12103	0.960592
0.12104	0.971886
0.12105	0.983655
0.12106	0.995859
0.12107	1.00846
0.12108	1.02142
0.12109	1.0347
0.1211	1.04827
0.12111	1.06209
0.12112	1.07612
0.12113	1.09034
0.12114	1.1047
0.12115	1.11918
0.12116	1.13375
0.12117	1.14837
0.12118	1.16303
0.12119	1.1777
0.1212	1.19235
0.12121	1.20695
0.12122	1.2215
0.12123	1.23596
0.12124	1.25032
0.12125	1.26457
0.12126	1.27869
0.12127	1.29266
0.12128	1.30648
0.12129	1.32014
0.1213	1.33362
0.12131	1.34693
0.12132	1.36006
0.12133	1.373
0.12134	1.38576
0.12135	1.39833
0.12136	1.41072
0.12137	1.42293
0.12138	1.43496
0.12139	1.44682
0.1214	1.45853
0.12141	1.47008
0.12142	1.48149
0.12143	1.49277
0.12144	1.50393
0.12145	1.51498
0.12146	1.52595
0.12147	1.53684
0.12148	1.54766
0.12149	1.55845
0.1215	1.56921
0.12151	1.57996
0.12152	1.59071
0.12153	1.6015
0.12154	1.61233
0.12155	1.62322
0.12156	1.63419
0.12157	1.64527
0.12158	1.65646
0.12159	1.66779
0.1216	1.67927
0.12161	1.69093
0.12162	1.70277
0.12163	1.71482
0.12164	1.72708
0.12165	1.73958
0.12166	1.75232
0.12167	1.76532
0.12168	1.7786
0.12169	1.79215
0.1217	1.80599
0.12171	1.82014
0.12172	1.83458
0.12173	1.84934
0.12174	1.86441
0.12175	1.87979
0.12176	1.89549
0.12177	1.91151
0.12178	1.92785
0.12179	1.94449
0.1218	1.96144
0.12181	1.97869
0.12182	1.99623
0.12183	2.01405
0.12184	2.03213
0.12185	2.05047
0.12186	2.06905
0.12187	2.08785
0.12188	2.10686
0.12189	2.12605
0.1219	2.14541
0.12191	2.16491
0.12192	2.18452
0.12193	2.20423
0.12194	2.22399
0.12195	2.2438
0.12196	2.26361
0.12197	2.2834
0.12198	2.30314
0.12199	2.32279
0.122	2.34232
0.12201	2.36169
0.12202	2.38087
0.12203	2.39983
0.12204	2.41853
0.12205	2.43694
0.12206	2.455
0.12207	2.4727
0.12208	2.48999
0.12209	2.50684
0.1221	2.5232
0.12211	2.53904
0.12212	2.55433
0.12213	2.56902
0.12214	2.58309
0.12215	2.59649
0.12216	2.60919
0.12217	2.62116
0.12218	2.63237
0.12219	2.64278
0.1222	2.65237
0.12221	2.66109
0.12222	2.66894
0.12223	2.67587
0.12224	2.68186
0.12225	2.68689
0.12226	2.69094
0.12227	2.69398
0.12228	2.696
0.12229	2.69698
0.1223	2.69691
0.12231	2.69577
0.12232	2.69355
0.12233	2.69024
0.12234	2.68584
0.12235	2.68033
0.12236	2.67373
0.12237	2.66602
0.12238	2.65722
0.12239	2.64732
0.1224	2.63633
0.12241	2.62426
0.12242	2.61112
0.12243	2.59692
0.12244	2.58168
0.12245	2.56542
0.12246	2.54816
0.12247	2.52992
0.12248	2.51072
0.12249	2.49058
0.1225	2.46955
0.12251	2.44764
0.12252	2.4249
0.12253	2.40135
0.12254	2.37702
0.12255	2.35197
0.12256	2.32622
0.12257	2.29982
0.12258	2.27281
0.12259	2.24523
0.1226	2.21713
0.12261	2.18855
0.12262	2.15955
0.12263	2.13016
0.12264	2.10044
0.12265	2.07043
0.12266	2.0402
0.12267	2.00978
0.12268	1.97923
0.12269	1.9486
0.1227	1.91794
0.12271	1.8873
0.12272	1.85674
0.12273	1.82631
0.12274	1.79605
0.12275	1.76602
0.12276	1.73626
0.12277	1.70684
0.12278	1.67779
0.12279	1.64916
0.1228	1.621
0.12281	1.59336
0.12282	1.56628
0.12283	1.5398
0.12284	1.51397
0.12285	1.48883
0.12286	1.46441
0.12287	1.44075
0.12288	1.41788
0.12289	1.39585
0.1229	1.37468
0.12291	1.35441
0.12292	1.33505
0.12293	1.31664
0.12294	1.2992
0.12295	1.28275
0.12296	1.26731
0.12297	1.2529
0.12298	1.23954
0.12299	1.22722
0.123	1.21597
0.12301	1.2058
0.12302	1.19671
0.12303	1.1887
0.12304	1.18177
0.12305	1.17593
0.12306	1.17116
0.12307	1.16747
0.12308	1.16485
0.12309	1.16329
0.1231	1.16277
0.12311	1.16328
0.12312	1.16481
0.12313	1.16733
0.12314	1.17083
0.12315	1.17529
0.12316	1.18068
0.12317	1.18698
0.12318	1.19416
0.12319	1.20219
0.1232	1.21104
0.12321	1.22069
0.12322	1.2311
0.12323	1.24224
0.12324	1.25407
0.12325	1.26655
0.12326	1.27966
0.12327	1.29336
0.12328	1.3076
0.12329	1.32235
0.1233	1.33757
0.12331	1.35323
0.12332	1.36928
0.12333	1.38568
0.12334	1.4024
0.12335	1.4194
0.12336	1.43663
0.12337	1.45406
0.12338	1.47165
0.12339	1.48937
0.1234	1.50717
0.12341	1.52503
0.12342	1.5429
0.12343	1.56074
0.12344	1.57854
0.12345	1.59624
0.12346	1.61383
0.12347	1.63126
0.12348	1.64852
0.12349	1.66557
0.1235	1.68239
0.12351	1.69894
0.12352	1.71522
0.12353	1.73118
0.12354	1.74682
0.12355	1.76211
0.12356	1.77704
0.12357	1.79158
0.12358	1.80573
0.12359	1.81947
0.1236	1.83278
0.12361	1.84567
0.12362	1.85812
0.12363	1.87012
0.12364	1.88166
0.12365	1.89276
0.12366	1.9034
0.12367	1.91358
0.12368	1.9233
0.12369	1.93257
0.1237	1.94139
0.12371	1.94977
0.12372	1.9577
0.12373	1.96521
0.12374	1.9723
0.12375	1.97897
0.12376	1.98525
0.12377	1.99114
0.12378	1.99665
0.12379	2.00181
0.1238	2.00662
0.12381	2.0111
0.12382	2.01527
0.12383	2.01914
0.12384	2.02273
0.12385	2.02607
